id_sentencia,año,tema_principal,tipo_accionante,sujeto_especial_proteccion,edad_aproximada,representacion,tipo_entidad,sector_entidad,derecho_salud,derecho_minimo_vital,debido_proceso,seguridad_social,existe_otro_medio_defensa,medio_es_idoneo,se_alega_perjuicio_irremediable,perjuicio_irremediable_probado,subsidiariedad_cumplida,legitimacion_activa,legitimacion_pasiva,urgencia,afecta_minimo_vital,afecta_salud,caso_involucra_servicio_publico,decision_corte,procedencia_tutela,dias_desde_hecho,hay_inmediatez
t-003,2022,seguridad social,persona_natural,0,55,agente_oficioso,economia_mixta,salud,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,improcedente,0,7,1
t-256,2019,seguridad social,persona_natural,1,69,directo,privada,otro,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,concede,1,74,1
t-056,2013,seguridad social,persona_natural,0,,apoderado,pública,otro,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,niega,0,,0
t-852,2012,seguridad social,persona_natural,1,65,apoderado,pública,otro,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,improcedente,0,,0
t-608,2016,seguridad social,persona_natural,1,50,apoderado,pública,pensiones,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,concede,1,30,1
t-756,2011,seguridad social,persona_natural,1,,directo,pública,otro,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,niega,0,245,1
t-444,2020,seguridad social,persona_natural,1,71,apoderado,privada,educativo,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,concede,1,210,1
t-279,2019,seguridad social,persona_natural,1,34,apoderado,privada,pensiones,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,210,1
t-486,2025,seguridad social,persona_natural,0,66,apoderado,pública,pensiones,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,improcedente,0,150,1
t-363,2024,seguridad social,persona_natural,1,47,apoderado,privada,pensiones,0,1,1,1,1,1,1,0,0,1,1,0,0,0,1,improcedente,0,373,1
t-095,2025,seguridad social,persona_natural,1,44,directo,privada,pensiones,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,22,1
t-195,2023,seguridad social,persona_natural,1,71,directo,economia_mixta,otro,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,improcedente,0,9490,0
t-402,2022,seguridad social,persona_natural,1,52,apoderado,privada,otro,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,concede,1,139,1
